base_addr=0x00002000 byte_count=1984
idx addr byte ascii
654 0x0000228e 78 x
655 0x0000228f 78 x
656 0x00002290 28 (
657 0x00002291 10 .
658 0x00002292 90 .
659 0x00002293 50 P
660 0x00002294 43 C
661 0x00002295 6c l
662 0x00002296 c8 .
663 0x00002297 cd .
664 0x00002298 c0 .
665 0x00002299 21 !
666 0x0000229a 39 9
667 0x0000229b 63 c
668 0x0000229c 1a .
669 0x0000229d 20  
670 0x0000229e 37 7
671 0x0000229f 78 x
672 0x000022a0 7d }
673 0x000022a1 20  
674 0x000022a2 3b ;
675 0x000022a3 3d =
676 0x000022a4 e0 .
677 0x000022a5 05 .
678 0x000022a6 0f .
679 0x000022a7 85 .
680 0x000022a8 01 .
681 0x000022a9 12 .
682 0x000022aa 60 `
683 0x000022ab 08 .
684 0x000022ac 4d M
685 0x000022ad b9 .
686 0x000022ae 19 .
687 0x000022af 78 x
688 0x000022b0 38 8
689 0x000022b1 25 %
690 0x000022b2 67 g
691 0x000022b3 5c \
692 0x000022b4 36 6
693 0x000022b5 a0 .
694 0x000022b6 97 .
695 0x000022b7 15 .
696 0x000022b8 e8 .
697 0x000022b9 cb .
698 0x000022ba 3e >
699 0x000022bb 20  
700 0x000022bc 78 x
701 0x000022bd 28 (
702 0x000022be 0c .
703 0x000022bf 78 x
704 0x000022c0 90 .
705 0x000022c1 30 0
706 0x000022c2 53 S
707 0x000022c3 6a j
708 0x000022c4 8a .
709 0x000022c5 0d .
710 0x000022c6 b9 .
711 0x000022c7 19 .
712 0x000022c8 39 9
713 0x000022c9 a3 .
714 0x000022ca 2f /
715 0x000022cb 3b ;
716 0x000022cc a0 .
717 0x000022cd cd .
718 0x000022ce 06 .
719 0x000022cf 78 x
720 0x000022d0 dc .
721 0x000022d1 b2 .
722 0x000022d2 0f .
723 0x000022d3 04 .
724 0x000022d4 0f .
725 0x000022d5 05 .
726 0x000022d6 02 .
727 0x000022d7 12 .
728 0x000022d8 6a j
729 0x000022d9 88 .
730 0x000022da 0d .
731 0x000022db b9 .
732 0x000022dc 19 .
733 0x000022dd 38 8
